Distribution,UE Count,Retransmissions,Channel Quality,Transmission Mode,Average RB Allocation (%),RB Allocation STD (%),Average RB Reallocation (%),RB Reallocation STD (%)
realistic,4,no-harq,multicast,APPROACH_1,97.62,0.85,0,0
realistic,4,no-harq,multicast,APPROACH_2,97.61,0.82,0,0
realistic,4,harq,multicast,APPROACH_1,54.66,0.47,5.05,2.59
realistic,4,harq,multicast,APPROACH_2,10.69,0.89,15.89,3.35
realistic,8,harq,multicast,APPROACH_1,37.17,0.3,3.99,2.29
realistic,8,harq,multicast,APPROACH_2,5.19,0.33,8.22,4.05
